Designator,Mid X,Mid Y,Rotation,Layer
C1,97.845000,-110.505000,0.000000,Top
C2,102.255000,-110.505000,0.000000,Top
C3,112.655000,-110.505000,0.000000,Top
C4,117.065000,-110.505000,0.000000,Top
C5,107.455000,-111.025000,0.000000,Top
C6,122.265000,-111.025000,0.000000,Top
D1,84.000000,-54.250000,0.000000,Top
D2,96.000000,-54.250000,0.000000,Top
D3,108.000000,-54.250000,0.000000,Top
D4,120.000000,-54.250000,0.000000,Top
D5,132.000000,-54.250000,0.000000,Top
D6,144.000000,-54.250000,0.000000,Top
D7,156.000000,-54.250000,0.000000,Top
D8,168.000000,-54.250000,0.000000,Top
D9,180.000000,-54.250000,0.000000,Top
D10,192.000000,-54.250000,0.000000,Top
D11,204.000000,-54.250000,0.000000,Top
D12,216.000000,-54.250000,0.000000,Top
D13,84.000000,-66.250000,0.000000,Top
D14,96.000000,-66.250000,0.000000,Top
D15,108.000000,-66.250000,0.000000,Top
D16,120.000000,-66.250000,0.000000,Top
D17,132.000000,-66.250000,0.000000,Top
D18,144.000000,-66.250000,0.000000,Top
D19,156.000000,-66.250000,0.000000,Top
D20,168.000000,-66.250000,0.000000,Top
D21,180.000000,-66.250000,0.000000,Top
D22,192.000000,-66.250000,0.000000,Top
D23,204.000000,-66.250000,0.000000,Top
D24,84.000000,-78.250000,0.000000,Top
D25,96.000000,-78.250000,0.000000,Top
D26,108.000000,-78.250000,0.000000,Top
D27,120.000000,-78.250000,0.000000,Top
D28,132.000000,-78.250000,0.000000,Top
D29,144.000000,-78.250000,0.000000,Top
D30,156.000000,-78.250000,0.000000,Top
D31,168.000000,-78.250000,0.000000,Top
D32,180.000000,-78.250000,0.000000,Top
D33,192.000000,-78.250000,0.000000,Top
D34,204.000000,-78.250000,0.000000,Top
D35,84.000000,-90.250000,0.000000,Top
D36,96.000000,-90.250000,0.000000,Top
D37,108.000000,-90.250000,0.000000,Top
D38,120.000000,-90.250000,0.000000,Top
D39,132.000000,-90.250000,0.000000,Top
D40,144.000000,-90.250000,0.000000,Top
D41,156.000000,-90.250000,0.000000,Top
D42,168.000000,-90.250000,0.000000,Top
D43,180.000000,-90.250000,0.000000,Top
D44,192.000000,-90.250000,0.000000,Top
D45,204.000000,-90.250000,0.000000,Top
D46,84.000000,-102.250000,0.000000,Top
D47,96.000000,-102.250000,0.000000,Top
D48,132.000000,-102.250000,0.000000,Top
D49,168.000000,-102.250000,0.000000,Top
D50,180.000000,-102.250000,0.000000,Top
D51,192.000000,-102.250000,0.000000,Top
D52,204.000000,-102.250000,0.000000,Top
D53,216.000000,-102.250000,0.000000,Top
D54,210.000000,-114.755000,0.000000,Top
J1,141.675000,-118.165000,0.000000,Top
J2,162.430000,-114.355000,0.000000,Top
J3,222.350000,-114.755000,90.000000,Top
